0	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
0.00	15.00	0.00	15
0.00	15.00	0.00	15
-0.00	15.00	0.00	15
-8.99	6.01	8.41	7
-3.75	2.26	35.48	1
1.21	3.47	42.98	1
1.40	4.86	49.30	1
1.83	6.70	43.35	8
-3.58	3.11	61.20	1
on!
1.67	7.73	51.72	11
1.32	9.05	35.61	10
0.92	9.97	24.76	11
0.83	10.81	17.59	11
-7.93	2.88	62.92	1
-1.05	1.83	42.90	1
-0.00	1.83	27.13	1
0.38	2.21	47.61	1
-0.53	1.68	32.29	1
0.00	1.68	20.42	1
0.00	1.68	12.92	1
0.00	1.68	8.17	1
-0.00	1.68	5.17	1
9.49	11.17	20.94	12
1.33	12.50	15.15	13
-0.26	12.24	12.31	12
0.00	12.24	7.79	12
0.35	12.59	5.56	13
-1.63	10.96	11.78	10
0.00	10.96	7.45	10
-5.01	5.96	19.46	5
0.00	5.96	12.31	5
0.00	5.96	7.78	5
-0.00	5.96	4.92	5
0.00	5.96	3.11	5
0.00	5.96	1.97	5
6.96	12.92	4.81	13
0.00	12.92	3.04	13
0.00	12.92	1.92	13
0.00	12.92	1.22	13
-0.00	12.92	0.77	13
0.00	12.92	0.49	13
-0.00	12.92	0.31	13
0.00	12.92	0.19	13
0.00	12.92	0.12	13
0.00	12.92	0.08	13
-0.00	12.92	0.05	13
0.00	12.92	0.03	13
-0.00	12.92	0.02	13
0.00	12.92	0.01	13
0.00	12.92	0.01	13
0.00	12.92	0.00	13
off!
0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
0.00	12.92	0.00	13
0.00	12.92	0.00	13
-0.00	12.92	0.00	13
-2.38	10.54	20.67	13
-0.11	10.44	40.97	8
0.54	10.97	43.64	13
0.26	11.23	39.61	13
0.45	11.68	27.87	13
0.45	12.13	20.10	13
0.11	12.25	12.88	13
-0.21	12.03	8.21	12
0.00	12.03	5.19	12
0.00	12.03	3.28	12
-0.00	12.03	2.08	12
0.00	12.03	1.31	12
0.87	12.90	1.41	13
0.00	12.90	0.89	13
0.07	12.98	0.58	13
-7.39	5.58	16.08	5
-0.19	5.40	11.73	5
1.49	6.88	42.55	5
0.70	7.59	46.83	10
0.29	7.87	46.58	10
-0.25	7.62	43.48	10
-2.79	4.83	53.54	2
-0.00	4.83	33.86	2
0.35	5.19	22.51	2
0.00	5.19	14.24	2
0.00	5.19	9.00	2
-0.00	5.19	5.70	2
0.00	5.19	3.60	2
0.00	5.19	2.28	2
0.00	5.19	1.44	2
5.14	10.32	1.79	11
-0.00	10.32	1.13	11
0.00	10.32	0.71	11
4.64	14.97	1.07	15
-0.00	14.97	0.68	15
-1.85	13.12	1.92	13
0.00	13.12	1.22	13
-6.06	7.06	10.46	7
-0.00	7.06	6.61	7
0.00	7.06	4.18	7
-0.00	7.06	2.64	7
0.00	7.06	1.67	7
-0.00	7.06	1.06	7
0.00	7.06	0.67	7
-0.00	7.06	0.42	7
0.00	7.06	0.27	7
0.00	7.06	0.17	7
0.00	7.06	0.11	7
-0.00	7.06	0.07	7
4.94	12.00	0.14	12
-0.05	11.95	3.75	12
-0.36	11.59	5.17	12
-1.17	10.42	13.33	12
0.00	10.42	8.43	12
0.00	10.42	5.33	12
0.00	10.42	3.37	12
-8.72	1.70	49.05	1
-0.00	1.70	31.02	1
0.00	1.70	19.62	1
-0.00	1.70	12.41	1
0.00	1.70	7.85	1
0.00	1.70	4.96	1
-0.00	1.70	3.14	1
0.00	1.70	1.99	1
0.00	1.70	1.26	1
10.93	12.63	3.26	13
0.24	12.87	2.08	13
0.09	12.96	1.32	13
0.03	12.99	0.84	13
0.00	13.00	0.53	13
0.00	13.00	0.33	13
0.00	13.00	0.21	13
0.00	13.00	0.13	13
0.00	13.00	0.08	13
0.00	13.00	0.05	13
0.00	13.00	0.03	13
0.00	13.00	0.02	13
0.00	13.00	0.01	13
0.00	13.00	0.01	13
0.00	13.00	0.01	13
0.00	13.00	0.00	13
0.00	13.00	0.00	13
0.00	13.00	0.00	13
