264.00	263.00	264.00	261.00	262.00	262.00	270.00	263.00	266.00	265.00	266.00	281.00	264.00	262.00	262.00	265.00	268	331	348
264.00	263.00	265.00	264.00	262.00	262.00	270.00	263.00	265.00	265.00	266.00	281.00	264.00	262.00	262.00	265.00	268	331	348
264.00	263.00	264.00	264.00	262.00	262.00	270.00	263.00	265.00	264.00	266.00	279.00	265.00	263.00	262.00	265.00	268	331	348
264.00	263.00	264.00	263.00	262.00	262.00	270.00	262.00	265.00	265.00	266.00	265.00	264.00	263.00	262.00	265.00	268	331	348
264.00	263.00	264.00	264.00	262.00	262.00	270.00	263.00	265.00	265.00	265.00	265.00	264.00	263.00	262.00	265.00	268	331	348
263.00	263.00	264.00	265.00	261.00	262.00	270.00	262.00	264.00	265.00	265.00	265.00	264.00	263.00	263.00	266.00	268	331	348
263.00	262.00	264.00	265.00	261.00	262.00	270.00	261.00	264.00	265.00	266.00	265.00	265.00	263.00	262.00	266.00	268	331	348
263.00	262.00	264.00	263.00	262.00	261.00	268.00	261.00	271.00	264.00	265.00	321.00	267.00	266.00	267.00	270.00	271	335	347
264.00	261.00	265.00	261.00	260.00	262.00	269.00	261.00	263.00	263.00	265.00	265.00	269.00	309.00	276.00	264.00	269	332	346
260.00	260.00	263.00	265.00	259.00	264.00	269.00	268.00	266.00	265.00	262.00	263.00	272.00	270.00	261.00	263.00	269	332	347
260.00	839.00	447.00	266.00	266.00	265.00	268.00	273.00	389.00	264.00	266.00	266.00	261.00	263.00	259.00	263.00	267	331	347
261.00	268.00	267.00	275.00	297.00	268.00	265.00	262.00	264.00	262.00	266.00	263.00	263.00	262.00	260.00	262.00	267	331	349
269.00	271.00	840.00	271.00	269.00	264.00	264.00	262.00	263.00	263.00	266.00	265.00	261.00	261.00	262.00	261.00	267	331	349
261.00	263.00	262.00	262.00	260.00	261.00	266.00	261.00	264.00	263.00	262.00	264.00	259.00	261.00	260.00	268.00	268	331	348
263.00	262.00	262.00	260.00	264.00	260.00	267.00	261.00	264.00	260.00	264.00	264.00	262.00	261.00	260.00	262.00	267	331	348
